poly_id,poly_type,comp,fracA,fracB,EA (eV),IP (eV),EA vs SHE (eV),IP vs SHE (eV),monoA,monoB
0_0,alternating,4A_4B,0.5,0.5,1.87890183342082,6.261997173999572,-3.4062103132528456,1.8080174283396102,OB(O)c1cc(F)c(B(O)O)cc1F,Oc1cc(O)c(Br)c(O)c1Br
0_0,block,4A_4B,0.5,0.5,2.329229219450733,6.210397442714792,-2.991909118105326,1.7610616728704607,OB(O)c1cc(F)c(B(O)O)cc1F,Oc1cc(O)c(Br)c(O)c1Br
0_0,random,4A_4B,0.5,0.5,2.106771614485174,6.272161148647633,-3.1965701146736407,1.817266645269346,OB(O)c1cc(F)c(B(O)O)cc1F,Oc1cc(O)c(Br)c(O)c1Br
0_1,alternating,4A_4B,0.5,0.5,2.8936034385604152,7.170896773761031,-2.4726848365244187,2.635116064122538,OB(O)c1cc(F)c(B(O)O)cc1F,N#Cc1cc(Br)c(F)cc1Br
0_1,block,4A_4B,0.5,0.5,2.8969762433314075,7.142086292414303,-2.4695818561351057,2.6088985260970157,OB(O)c1cc(F)c(B(O)O)cc1F,N#Cc1cc(Br)c(F)cc1Br
0_1,random,4A_4B,0.5,0.5,2.902965646605593,7.160923402061136,-2.4640716051228546,2.6260402958756335,OB(O)c1cc(F)c(B(O)O)cc1F,N#Cc1cc(Br)c(F)cc1Br
0_2,alternating,4A_4B,0.5,0.5,1.8208827696008176,5.8739995865077015,-3.459587851967248,1.454939623722008,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Cl)cc(Br)c(N)c1Br
0_2,block,4A_4B,0.5,0.5,2.3082565139945563,5.852000850796274,-3.0112040071250084,1.4349207742246086,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Cl)cc(Br)c(N)c1Br
0_2,random,4A_4B,0.5,0.5,2.0456828906459794,5.866900774399858,-3.2527717406056995,1.4484797047038707,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Cl)cc(Br)c(N)c1Br
0_3,alternating,4A_4B,0.5,0.5,2.4920522439678807,6.545632671593753,-2.8421119355495503,2.0661257311503154,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(Cl)COc1ccc(Br)cc1Br
0_3,block,4A_4B,0.5,0.5,2.656351420727448,6.507350301454041,-2.6909566929307482,2.031288774323177,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(Cl)COc1ccc(Br)cc1Br
0_3,random,4A_4B,0.5,0.5,2.551787033072631,6.49608042200031,-2.78715592957318,2.021033184020282,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(Cl)COc1ccc(Br)cc1Br
0_4,alternating,4A_4B,0.5,0.5,2.620096165141716,6.2065297362452805,-2.724311528069622,1.7575420599832048,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(N)c(Br)cc1Br
0_4,block,4A_4B,0.5,0.5,2.6596000493578917,6.2103916668792944,-2.6879679545907402,1.7610564168601575,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(N)c(Br)cc1Br
0_4,random,4A_4B,0.5,0.5,2.638105763437465,6.20497097514007,-2.7077426976375323,1.7561235873774637,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(N)c(Br)cc1Br
0_5,alternating,4A_4B,0.5,0.5,3.2842495117952755,6.818075789728718,-2.113290449148347,2.3140489686531334,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1nc(Br)c2ccccc2n1
0_5,block,4A_4B,0.5,0.5,3.3579746162271,6.704045747043597,-2.045463353071068,2.2102816298096726,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1nc(Br)c2ccccc2n1
0_5,random,4A_4B,0.5,0.5,3.3353077784478584,6.773855957188754,-2.0663168438279707,2.273808921041766,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1nc(Br)c2ccccc2n1
0_6,alternating,4A_4B,0.5,0.5,3.363149240726147,7.096483870525872,-2.040702698531945,2.567400322178543,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1c(F)cc(Br)cc1Br
0_6,block,4A_4B,0.5,0.5,3.3602734858080936,7.094953651078538,-2.0433483930565544,2.566007822481469,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1c(F)cc(Br)cc1Br
0_6,random,4A_4B,0.5,0.5,3.3528739153297424,7.093608715021407,-2.0501559978966375,2.56478393066948,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1c(F)cc(Br)cc1Br
0_7,alternating,4A_4B,0.5,0.5,2.149710710107701,6.917888151553522,-3.157066146700916,2.404878217913705,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(Cl)cc1Br
0_7,block,4A_4B,0.5,0.5,2.3727420087732645,6.9192715523554815,-2.951877351928597,2.4061371126434876,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(Cl)cc1Br
0_7,random,4A_4B,0.5,0.5,2.247535503149713,6.926400681053218,-3.067067337102264,2.4126246197584282,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(Cl)cc1Br
0_8,alternating,4A_4B,0.5,0.5,2.9686510936451,6.99615340340065,-2.4036409938465084,2.4760995970945916,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(Br)ccc1Br
0_8,block,4A_4B,0.5,0.5,2.9557988033351137,7.009613345298285,-2.415465100931696,2.488348144221439,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(Br)ccc1Br
0_8,random,4A_4B,0.5,0.5,2.9473522278768503,6.994517624635717,-2.4232359503532983,2.4746110384185016,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(Br)ccc1Br
0_9,alternating,4A_4B,0.5,0.5,2.213825544532138,5.756618626926453,-3.0980804990304334,1.3481229505030723,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2c3ccc(Br)cc3n(-c3ccccc3)c2c1
0_9,block,4A_4B,0.5,0.5,2.389546601480003,5.6306274324629495,-2.936417126638398,1.2334709635412837,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2c3ccc(Br)cc3n(-c3ccccc3)c2c1
