smiles,electron_aff
*Cc1ccc(Cc2ccc(*)s2)cc1,0.9966
*NOC(F)(F)C(*)(F)F,0.9509
*Nc1ccc(Oc2ccc(*)s2)s1,1.1067
*CCC(=O)N*,1.1904
*CCON*,0.6058
*CC(=O)OC(*)=O,2.2158
*CC(=O)C(=S)c1ccc(*)cc1,3.6382
*Cc1ccc(Nc2ccc(*)cc2)cc1,0.9546
*COCOCCCO*,0.6927
*CC(=O)C(=S)O*,2.8847
*NC(=O)Oc1ccc(*)s1,1.551
*CCOC(=O)CCCCC(=O)O*,1.0754
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,1.5387
*OC(=S)Oc1ccc(*)s1,2.5249
*CNCC(*)=S,2.6857
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,2.5289
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.8588
*Oc1ccc(OC(*)=O)cc1,1.4499
*c1ccc(C(F)(F)CC(*)(F)F)s1,2.025
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,3.5136
*Cc1ccc(CO*)cc1,1.6106
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,2.0323
*COc1ccc(-c2ccc(*)cc2)s1,1.6377
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,4.1828
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.8757
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,4.0037
*NC(=S)OC(*)=S,4.0637
*CONC(*)=O,1.2523
*c1ccc(*)s1,2.9681
*CCOC(=O)CCCCCCC(=O)O*,0.8924
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,3.1315
*Cc1ccc(C(=O)C(*)=S)cc1,3.3639
*CNCCNC(=O)OC*,0.5903
*CC(=O)c1ccc(C(*)=O)s1,3.1941
*CNC(=S)c1ccc(*)s1,2.3974
*CCC(=S)O*,2.069
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,2.2963
*Nc1ccc(C(=O)C(*)=S)cc1,4.0513
*Cc1ccc(Oc2ccc(*)s2)cc1,1.0627
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,2.5375
*Nc1cccc(C(*)=O)c1,2.356
*Cc1ccc(-c2ccc(N*)s2)s1,1.6017
*Cc1ccc(Cc2ccc(*)s2)s1,1.174
*c1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(*)s4)cc3)s2)s1,3.9089
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.7075
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,2.1302
*NC(=O)c1ccc(O*)cc1,2.0709
*C(=S)OC(=S)c1ccc(*)cc1,3.7508
*Oc1ccc(Oc2ccc(*)s2)s1,1.3443
*CCC(=O)c1ccc(*)cc1,2.3583
*C(=S)NC(F)(F)C(*)(F)F,3.1022
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.5312
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,2.9754
*c1ccc(NC(F)(F)C(*)(F)F)cc1,1.524
*CNC(=S)O*,1.5976
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,3.3959
*CNC(=S)N*,1.4813
*NC(=O)C(=S)O*,4.3681
*Cc1ccc(-c2ccc(O*)cc2)s1,1.4385
*Nc1ccc(C(=S)c2ccc(*)s2)s1,3.5786
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)cc1,3.8058
*C(=O)C(F)(F)CC(*)(F)F,3.352
*Oc1ccc(C(=S)c2ccc(*)s2)s1,3.4574
*C(=O)CC(F)(F)C(*)(F)F,2.8445
*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,3.9184
*CCCCCOCO*,0.5413
*CCCC(*)=S,2.3997
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,4.1286
*C(=O)c1ccc(OC(*)=S)cc1,3.2631
*CCCc1ccc(*)s1,0.9489
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,2.3086
*Cc1ccc(C(=O)O*)cc1,2.2574
*OC(=O)c1ccc(C(*)=O)s1,3.3779
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)cc1,3.54
*CCC(=O)c1ccc(*)s1,2.6933
*NC(=S)Nc1ccc(Cc2ccc(*)cc2)cc1,1.379
*CNCCCOCO*,0.6155
*CC(=O)Nc1ccc(*)cc1,1.369
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,2.3385
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,3.9365
*CCOCCOC(=O)O*,0.4954
*Nc1ccc(C(=O)O*)cc1,2.5642
*CNOc1ccc(*)cc1,0.891
*Nc1ccc(NC(=O)NONC(*)=O)s1,1.3385
*Cc1ccc(-c2ccc(O*)s2)s1,1.7705
*Cc1ccc(NO*)cc1,0.7333
*CO*,0.9897
*Oc1ccc(Oc2ccc(*)cc2)s1,1.2264
*Sc1ccc(*)cc1,2.0372
*Cc1ccc(C*)cc1,0.8499
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,3.155
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,3.453
*NC(=O)C(=S)c1ccc(*)cc1,3.6154
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,3.2587
*OC(=O)c1ccc(C(*)=O)cc1,3.2451
*CNC(=S)c1ccc(*)cc1,2.3012
*Nc1ccc(Oc2ccc(*)s2)cc1,1.1598
*CC(=S)c1ccc(C(*)=S)cc1,2.9742
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,2.9139
*CC(=O)Cc1ccc(*)cc1,1.8209
*CCCCCCC(=O)N*,0.6934
*COC(=O)O*,0.7529
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.0264
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,3.2278
*Nc1ccc(Oc2ccc(*)cc2)cc1,1.1501
*OC(=S)c1ccc(C(*)=O)s1,4.037
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,1.897
*C(=O)Oc1ccc(C(*)=S)cc1,3.6938
*CNCc1ccc(*)s1,1.1612
*NOC(=O)NCC(=O)NC(*)=O,2.0185
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,4.1807
*CC(=S)CO*,2.5664
*Cc1ccc(Cc2ccc(*)cc2)cc1,1.0649
*COc1ccc(O*)s1,0.8857
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,3.9759
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,3.0651
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.6576
*CC(=O)c1ccc(C(*)=O)cc1,2.7979
*OC(=S)Oc1ccc(*)cc1,1.8722
*CNOc1ccc(*)s1,1.0659
*NCCCNC(=O)NC(*)=O,0.6578
*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,2.9241
*CC(=O)c1ccc(O*)cc1,2.3793
*OC(F)(F)C(=O)C(*)(F)F,3.6501
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,1.7103
*NC(=S)c1ccc(O*)s1,2.8874
*NC(=O)c1ccc(O*)s1,2.2174
*c1ccc(C(F)(F)NC(*)(F)F)s1,2.4083
*Nc1ccc(*)cc1,0.9827
*CCC(F)(F)C(*)(F)F,0.4489
*CCc1ccc(C(*)=S)cc1,3.1161
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,2.6784
*Cc1ccc(CO*)s1,1.4146
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.2798
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,2.874
*CCc1ccc(C(*)=S)s1,3.3272
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,2.952
*CCO*,0.3936
