smiles,ionization_energy
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,5.6651
*NOC(F)(F)C(*)(F)F,9.0368
*Nc1ccc(NC(*)=S)s1,5.1241
*CCC(=O)N*,6.8452
*CCNC(*)=S,5.3628
*CC(=O)Oc1ccc(*)s1,6.077
*CC(=O)C(=S)c1ccc(*)s1,6.3305
*Cc1ccc(Nc2ccc(*)s2)cc1,5.4067
*COCOCCCO*,7.1508
*CC(=O)C(=S)C(*)=O,6.8667
*NC(=O)NO*,7.4857
*CCOC(=O)CCCCC(=O)O*,7.8277
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,6.1951
*Oc1ccc(Oc2ccc(*)s2)s1,5.0541
*CNCC(*)=O,6.367
*OC(=S)c1ccc(C(*)=O)cc1,6.7625
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.6674
*CCCCCOC(=O)O*,7.4318
*c1ccc(C(F)(F)CC(*)(F)F)s1,7.1393
*OCCCCONC(*)=O,6.4266
*OC1C(CO)OC(*)C(O)C1O,6.8689
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,6.7464
*CNON*,6.3414
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,6.7085
*C(=O)c1ccc(OC(*)=S)s1,6.8199
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,6.9546
*NC(=S)OC(*)=S,6.6502
*COC(=S)O*,6.8707
*CCC(O*)(C(F)(F)F)C(F)(F)F,8.3643
*CCOC(=O)CCCCCCC(=O)O*,7.7636
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,5.6051
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,6.6326
*CNCCNC(=O)OC*,6.3844
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,6.0852
*CNC(=O)C(*)=S,7.0203
*CCC(=O)C(*)=S,6.4199
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.1012
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,5.4547
*Cc1ccc(NO*)cc1,5.6115
*Cc1ccc(CC(*)=S)cc1,5.9697
*Nc1cccc(C(*)=O)c1,6.1179
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,4.3058
*Cc1ccc(-c2ccc(O*)cc2)s1,5.4992
*OC(=O)C(F)(F)C(*)(F)F,9.0985
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.528
*NC(=O)c1ccc(O*)s1,6.5697
*NC(=O)c1ccc(C(*)=S)cc1,6.3279
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,5.7685
*C(=S)OC(=S)c1ccc(*)s1,6.3892
*CCC(=O)c1ccc(*)s1,6.6564
*C(=S)NC(F)(F)C(*)(F)F,6.3593
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,4.5131
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.2326
*c1ccc(NC(F)(F)C(*)(F)F)cc1,6.1304
*CNC(=S)N*,5.6855
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.7249
*CNC(=S)C(*)=O,6.3386
*NC(=O)C(=S)C(*)=O,6.114
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,5.6896
*Nc1ccc(C(=O)C(*)=S)s1,6.311
*CNCNC(=O)NC(=O)N*,6.2252
*C(=O)C(F)(F)CC(*)(F)F,8.1829
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,5.7571
*C(=O)CC(F)(F)C(*)(F)F,7.9225
*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,6.6143
*CCCCCOCO*,6.9158
*CCCC(*)=O,6.6298
*OCC(F)(F)C(*)(F)F,9.8385
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,6.1761
