psmiles,wpsmiles,original_index,n_distinct_monomers,refractive_index,legacy_test_fold
CCCCCCCC(=O)OC(C=CCCOCC(=O)OOCC(CC)COC(=O)*)Cc1ccc(C(=O)c2ccc(Oc3nc(C(=O)c4cnc(C(=O)Oc5cc(Oc6cc(C#N)c(OC(=O)c7ccc8cc(C(=O)OCC*)ccc8c7)cc6O)cc(F)c5N)cn4)nc4ccccc34)cc2)c(C(C)C)c1,[*:1]CCOC(=O)c1ccc2cc(C(=O)O[*:2])ccc2c1.[*:3]c1cc(O)c([*:4])cc1C#N.[*:5]Oc1cc(F)c(N)c(OC(=O)c2cnc(C([*:6])=O)cn2)c1.[*:7]c1nc([*:8])c2ccccc2n1.[*:9]Oc1ccc(C([*:10])=O)cc1.[*:11]c1ccc([*:12])cc1C(C)C.[*:13]CC([*:14])OC(=O)CCCCCCC.[*:15]/C=C/[*:16].[*:17]CCOCC(=O)O[*:18].CCC(CO[*:19])COC(=O)[*:20]|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|<1-19:.25:.25<1-20:.25:.25<1-3:.25:.25<1-4:.25:.25<2-19:.25:.25<2-20:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-15:.25:.25<13-16:.25:.25<14-11:.25:.25<14-12:.25:.25<14-15:.25:.25<14-16:.25:.25<15-13:.25:.25<15-14:.25:.25<15-17:.25:.25<15-18:.25:.25<16-13:.25:.25<16-14:.25:.25<16-17:.25:.25<16-18:.25:.25<17-15:.25:.25<17-16:.25:.25<17-19:.25:.25<17-20:.25:.25<18-15:.25:.25<18-16:.25:.25<18-19:.25:.25<18-20:.25:.25<19-17:.25:.25<19-18:.25:.25<19-1:.25:.25<19-2:.25:.25<20-17:.25:.25<20-18:.25:.25<20-1:.25:.25<20-2:.25:.25,12584,10,1.628223896026611,5
COC(=O)C(CCNC(=O)C(=O)c1ccc(F)cc1C(=O)Nc1nonc1C(=NO)C(=NO)c1nonc1Nc1ccc2[nH]c(-c3ccc4sc5ccc(-c6nc7cc(CC(=O)Nc8ccc(Oc9ccc(NC(=O)Oc%10cc(C=O)cc(F)c%10OOC(=O)c%10ccc(C(=O)OCCCC*)cc%10)cc9)cc8)ccc7[nH]6)cc5c4c3)nc2c1)O*,[*:1]CCCCOC(=O)c1ccc(C(=O)O[*:2])cc1.[*:3]Oc1c(F)cc(C=O)cc1OC(=O)Nc1ccc(Oc2ccc(NC([*:4])=O)cc2)cc1.[*:5]Cc1ccc2[nH]c(-c3ccc4sc5ccc(-c6nc7cc([*:6])ccc7[nH]6)cc5c4c3)nc2c1.[*:7]Nc1nonc1C(=NO)C(=NO)c1nonc1NC(=O)c1cc(F)ccc1C([*:8])=O.COC(=O)C(CCNC(=O)[*:9])O[*:10]|0.2|0.2|0.2|0.2|0.2|<1-9:.25:.25<1-10:.25:.25<1-3:.25:.25<1-4:.25:.25<2-9:.25:.25<2-10:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-1:.25:.25<9-2:.25:.25<10-7:.25:.25<10-8:.25:.25<10-1:.25:.25<10-2:.25:.25,12540,5,1.6359950304031372,5
CCC(CC)CC(CC(C=C(C=CC1OC(OC(CN(C)CCOC)C(C)OC(=O)C=CCN(Cc2cc(C(C)=O)c(N)c(*)c2)N=Nc2ccc(C(F)(F)F)cc2)C(C(=O)Nc2ccccc2C(F)(F)F)C1C(=O)O)c1ccc(F)cc1Cl)CCN(C(C)C)C(C)C)C*,[*:1]CC([*:2])CC(CC)CC.[*:3]CC([*:4])CCN(C(C)C)C(C)C.[*:5]C=C([*:6])c1ccc(F)cc1Cl.[*:7]C=CC1OC([*:8])C(C(=O)Nc2ccccc2C(F)(F)F)C1C(=O)O.COCCN(C)CC(O[*:9])C(C)OC(=O)[*:10].[*:11]C=CCN(C[*:12])N=Nc1ccc(C(F)(F)F)cc1.[*:13]c1cc([*:14])c(N)c(C(C)=O)c1|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|<1-13:.25:.25<1-14:.25:.25<1-3:.25:.25<1-4:.25:.25<2-13:.25:.25<2-14:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-1:.25:.25<13-2:.25:.25<14-11:.25:.25<14-12:.25:.25<14-1:.25:.25<14-2:.25:.25,9124,7,1.686004877090454,1
CCC(NOC(=O)c1cccc2c(C(=O)OCCNC(=O)CCCc3nc(C)cc(C4OC(C=CC(C*)C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(C(=O)O)C4C(=O)Nc4cccc(F)c4)c3N)cccc12)C(=O)NCCCCNC(=O)c1nc(-c2ccc3nc(-c4ncc(*)c5[nH]ccc45)sc3c2)n(C)n1,[*:1]CC([*:2])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[*:3]C=CC1OC([*:4])C(C(=O)Nc2cccc(F)c2)C1C(=O)O.[*:5]c1cc(C)nc([*:6])c1N.[*:7]CCCC(=O)N[*:8].[*:9]CCOC(=O)c1cccc2c(C(=O)O[*:10])cccc12.CCC(N[*:11])C(=O)NCCCCNC(=O)[*:12].[*:13]c1nc([*:14])n(C)n1.[*:15]c1ccc2nc([*:16])sc2c1.[*:17]c1ncc([*:18])c2[nH]ccc12|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|<1-17:.25:.25<1-18:.25:.25<1-3:.25:.25<1-4:.25:.25<2-17:.25:.25<2-18:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-15:.25:.25<13-16:.25:.25<14-11:.25:.25<14-12:.25:.25<14-15:.25:.25<14-16:.25:.25<15-13:.25:.25<15-14:.25:.25<15-17:.25:.25<15-18:.25:.25<16-13:.25:.25<16-14:.25:.25<16-17:.25:.25<16-18:.25:.25<17-15:.25:.25<17-16:.25:.25<17-1:.25:.25<17-2:.25:.25<18-15:.25:.25<18-16:.25:.25<18-1:.25:.25<18-2:.25:.25,15261,9,1.2718009948730469,5
C=CC(OC(=O)c1cnc(C)c(-c2cc(*)c(F)cc2OC)c1C)C(=O)OCCC(C)Oc1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(CC(NN(C)C(=S)NC(=O)CC(CC(=O)CC(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)*)c6ccccc6F)c6cccs6)c(=O)c5cc4c3=O)cc2)cc1,[*:1]c1cc([*:2])c(OC)cc1F.[*:3]c1c(C)ncc([*:4])c1C.C=CC(OC(=O)[*:5])C(=O)OCCC(C)O[*:6].[*:7]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*:8])c(=O)c5cc4c3=O)cc2)cc1.[*:9]CC([*:10])c1cccs1.[*:11]NN(C)C(=S)NC(=O)CC(CC([*:12])=O)c1ccccc1F.[*:13]CC([*:14])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|<1-13:.25:.25<1-14:.25:.25<1-3:.25:.25<1-4:.25:.25<2-13:.25:.25<2-14:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-1:.25:.25<13-2:.25:.25<14-11:.25:.25<14-12:.25:.25<14-1:.25:.25<14-2:.25:.25,19264,7,1.6177395582199097,1
CCCOC(=O)CC(COCCOCCOC(=O)C(C)OC(=O)C(Cc1ccc(-c2cc(CO)c(N)c(*)c2)c(CN)c1)OCCC)(C(=O)OCCC)c1ccc2c(c1)C(=C(C#N)C#N)c1cc(CC(OC(C)=O)c3cc(-c4ccc(*)c5nonc45)c(N)c(C)c3Cl)ccc1-2,[*:1]c1cc([*:2])cc(CO)c1N.[*:3]c1ccc([*:4])cc1CN.[*:5]CC([*:6])OCCC.CC(OC(=O)[*:7])C(=O)OCCOCCO[*:8].[*:9]CC([*:10])(CC(=O)OCCC)C(=O)OCCC.[*:11]c1ccc2c(c1)C(=C(C#N)C#N)c1cc([*:12])ccc1-2.[*:13]CC([*:14])OC(C)=O.[*:15]c1cc([*:16])c(N)c(C)c1Cl.[*:17]c1ccc([*:18])c2nonc12|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|0.1111111111111111|<1-17:.25:.25<1-18:.25:.25<1-3:.25:.25<1-4:.25:.25<2-17:.25:.25<2-18:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-15:.25:.25<13-16:.25:.25<14-11:.25:.25<14-12:.25:.25<14-15:.25:.25<14-16:.25:.25<15-13:.25:.25<15-14:.25:.25<15-17:.25:.25<15-18:.25:.25<16-13:.25:.25<16-14:.25:.25<16-17:.25:.25<16-18:.25:.25<17-15:.25:.25<17-16:.25:.25<17-1:.25:.25<17-2:.25:.25<18-15:.25:.25<18-16:.25:.25<18-1:.25:.25<18-2:.25:.25,20115,9,1.6162927150726318,2
COc1cc(*)ccc1-c1cc(F)c(F)cc1-c1cc(C=CC(=O)O)cc(-c2cccc(-c3cccc(Nc4c(C(F)(F)F)ccc(C(F)(F)F)c4NC(=O)c4c(F)c(F)c(C(=O)c5cc(C#N)cc(CCCCCCNC(=O)Cc6ccc(C(=O)N*)cc6)c5O)c(F)c4F)n3)n2)c1OC(C)C,[*:1]c1ccc([*:2])c(OC)c1.[*:3]c1cc(F)c(F)cc1[*:4].[*:5]c1cc(C=CC(=O)O)cc([*:6])c1OC(C)C.[*:7]c1cccc(-c2cccc([*:8])n2)n1.[*:9]Nc1c(C(F)(F)F)ccc(C(F)(F)F)c1NC(=O)c1c(F)c(F)c(C([*:10])=O)c(F)c1F.[*:11]c1cc(C#N)cc([*:12])c1O.[*:13]CCCCCCNC(=O)Cc1ccc(C(=O)N[*:14])cc1|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|<1-13:.25:.25<1-14:.25:.25<1-3:.25:.25<1-4:.25:.25<2-13:.25:.25<2-14:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-1:.25:.25<13-2:.25:.25<14-11:.25:.25<14-12:.25:.25<14-1:.25:.25<14-2:.25:.25,20218,7,1.6932469606399536,2
CCOC(=O)c1ccc(C(CC(CC(C)(C*)C(=O)OCc2cccc(Cl)c2Cl)OC(=O)c2ccc(Br)cc2)c2sc(-c3cc(CC(Nc4ccc(C#N)c(NC(=O)Nc5ccc(Oc6ccc(NC(=O)*)cc6)cc5)c4F)c4ccc(COC(C)CC)cc4)ncc3Cl)nc2C)cc1,[*:1]CC([*:2])(C)C(=O)OCc1cccc(Cl)c1Cl.[*:3]CC([*:4])OC(=O)c1ccc(Br)cc1.[*:5]CC([*:6])c1ccc(C(=O)OCC)cc1.[*:7]c1sc([*:8])nc1C.[*:9]c1cc([*:10])ncc1Cl.[*:11]CC([*:12])c1ccc(COC(C)CC)cc1.[*:13]Nc1ccc(C#N)c(NC(=O)Nc2ccc(Oc3ccc(NC([*:14])=O)cc3)cc2)c1F|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|<1-13:.25:.25<1-14:.25:.25<1-3:.25:.25<1-4:.25:.25<2-13:.25:.25<2-14:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-1:.25:.25<13-2:.25:.25<14-11:.25:.25<14-12:.25:.25<14-1:.25:.25<14-2:.25:.25,13741,7,1.518926024436951,1
c1cc(*)sc1CC*,[*:1]CC[*:2].[*:3]c1ccc([*:4])s1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5,501,2,1.817782640457153,5
CCCCOc1ccc(C(C*)OCCC(=O)NCC(CCC)OC(=O)c2cc(OC)c(N)c(OCC(=O)NCC(C)(C)OC(=O)C(=O)OCC(CNC(C)(C#N)C(C)C)OC=CC(C(=O)OCc3ccc(Cl)cc3)C(C(=O)OCc3ccc(Cl)cc3)c3cc(O)cc(*)c3C)c2Cl)cc1,[*:1]CC([*:2])c1ccc(OCCCC)cc1.CCCC(CNC(=O)CCO[*:3])OC(=O)[*:4].[*:5]c1cc(OC)c(N)c([*:6])c1Cl.CC(C)(CNC(=O)CO[*:7])OC(=O)[*:8].CC(C)C(C)(C#N)NCC(COC(=O)[*:9])O[*:10].[*:11]/C=C/C(C(=O)OCc1ccc(Cl)cc1)C([*:12])C(=O)OCc1ccc(Cl)cc1.[*:13]c1cc(O)cc([*:14])c1C|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|0.14285714285714285|<1-13:.25:.25<1-14:.25:.25<1-3:.25:.25<1-4:.25:.25<2-13:.25:.25<2-14:.25:.25<2-3:.25:.25<2-4:.25:.25<3-1:.25:.25<3-2:.25:.25<3-5:.25:.25<3-6:.25:.25<4-1:.25:.25<4-2:.25:.25<4-5:.25:.25<4-6:.25:.25<5-3:.25:.25<5-4:.25:.25<5-7:.25:.25<5-8:.25:.25<6-3:.25:.25<6-4:.25:.25<6-7:.25:.25<6-8:.25:.25<7-5:.25:.25<7-6:.25:.25<7-9:.25:.25<7-10:.25:.25<8-5:.25:.25<8-6:.25:.25<8-9:.25:.25<8-10:.25:.25<9-7:.25:.25<9-8:.25:.25<9-11:.25:.25<9-12:.25:.25<10-7:.25:.25<10-8:.25:.25<10-11:.25:.25<10-12:.25:.25<11-9:.25:.25<11-10:.25:.25<11-13:.25:.25<11-14:.25:.25<12-9:.25:.25<12-10:.25:.25<12-13:.25:.25<12-14:.25:.25<13-11:.25:.25<13-12:.25:.25<13-1:.25:.25<13-2:.25:.25<14-11:.25:.25<14-12:.25:.25<14-1:.25:.25<14-2:.25:.25,10113,7,1.677918553352356,2
