protocol,n_folds,metric,dataset_size,rmse_mean,rmse_std,property,model,polymer_architecture,source_label,quantity_reported,model_reported,polymer_type_reported,source_reported
legacy_full_dataset_5fold_cv,5,rmse,27802,91.32,0.875,Cp,RDKit_RF,alternating,MD,$C_p$,RDKit,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,151.41,13.6,Cp,RDKit_RF,homopolymer,MD,$C_p$,RDKit,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,120.33,1.83,Cp,polyBERT,alternating,MD,$C_p$,polyBERT,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,205.8,15.0,Cp,polyBERT,homopolymer,MD,$C_p$,polyBERT,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,67.59,1.67,Cp,polymer_chemprop,alternating,MD,$C_p$,PCP,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,86.27,7.38,Cp,polymer_chemprop,homopolymer,MD,$C_p$,PCP,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,9331,96.0,2.63,Cp,polymer_chemprop,random,MD,$C_p$,PCP,Random copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,27802,67.83,1.51,Cp,polymer_periodic_graph,alternating,MD,$C_p$,PPG,Alternating Copolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1800,85.24,10.2,Cp,polymer_periodic_graph,homopolymer,MD,$C_p$,PPG,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1788,0.0318,0.0021,Cv,RDKit_RF,homopolymer,MD,$C_v$,RDKit,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1788,0.0578,0.0036,Cv,polyBERT,homopolymer,MD,$C_v$,polyBERT,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1788,0.012,0.002,Cv,polymer_chemprop,homopolymer,MD,$C_v$,PCP,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,1788,0.0125,0.0024,Cv,polymer_periodic_graph,homopolymer,MD,$C_v$,PPG,Homopolymer,MD
legacy_full_dataset_5fold_cv,5,rmse,6138,0.155,0.006,EA,RDKit_RF,alternating,DFT,EA,RDKit,Alternating Copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,368,0.429,0.059,EA,RDKit_RF,homopolymer,DFT,EA,RDKit,Homopolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,6138,0.115,0.003,EA,polyBERT,alternating,DFT,EA,polyBERT,Alternating Copolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,368,0.385,0.049,EA,polyBERT,homopolymer,DFT,EA,polyBERT,Homopolymer,DFT
legacy_full_dataset_5fold_cv,5,rmse,6138,0.048,0.002,EA,polymer_chemprop,alternating,DFT,EA,PCP,Alternating Copolymer,DFT
